order_id,date,customer_id,customer_name,city,zip_code,county,product_category,product_name,bottles_sold,order_amount,order_amount_sek,volume_sold_liters,volume_sold_gallons
INV-57085600016,2023-03-30,4829,CENTRAL CITY 2,DES MOINES,50314.0,POLK,AMERICAN FLAVORED VODKA,NEW AMSTERDAM PINEAPPLE,12,144.0,1440.0,9.0,2.37
INV-57097000006,2023-03-30,2652,HY-VEE DRUGSTORE / MASON CITY,MASON CITY,50401.0,CERRO GORDO,CANADIAN WHISKIES,BLACK VELVET,18,297.0,2970.0,31.5,8.32
INV-57092600025,2023-03-30,5279,CASEY'S GENERAL STORE # 2560/ AMES,AMES,50010.0,STORY,WHISKEY LIQUEUR,FIREBALL CINNAMON WHISKEY MINI SLEEVE,12,77.4,774.0,0.6,0.15
INV-57095400006,2023-03-30,3456,QUICK SHOP / CLEAR LAKE,CLEARLAKE,50428.0,CERRO GORDO,CANADIAN WHISKIES,SEAGRAMS VO CANADIAN WHISKEY PET,2,34.48,344.79999999999995,3.5,0.92
INV-57097700028,2023-03-30,6220,PRIME WINE AND SPIRITS / MASON CITY,MASON CITY,50401.0,CERRO GORDO,AMERICAN BRANDIES,E & J VS PET,12,117.0,1170.0,9.0,2.37
INV-57086800001,2023-03-30,2665,HY-VEE / WAUKEE,WAUKEE,50263.0,DALLAS,SPICED RUM,CAPTAIN MORGAN ORIGINAL SPICED BARREL,750,20250.0,202500.0,1312.5,346.72
INV-57102800015,2023-03-30,4150,FAREWAY STORES #951 / WATERLOO,WATERLOO,50701.0,BLACK HAWK,IRISH WHISKIES,JAMESON COLD BREW,1,24.74,247.39999999999998,0.75,0.19
INV-57090600116,2023-03-30,5102,WILKIE LIQUORS,MOUNT VERNON,52314.0,LINN,SCOTCH WHISKIES,LAUDERS,12,110.52,1105.2,12.0,3.17
INV-57090800014,2023-03-30,2588,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,CEDAR RAPIDS,52403.0,LINN,IRISH WHISKIES,JAMESON,12,314.88,3148.8,9.0,2.37
INV-57090800147,2023-03-30,2588,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,CEDAR RAPIDS,52403.0,LINN,100% AGAVE TEQUILA,HORNITOS ANEJO,12,306.0,3060.0,9.0,2.37
INV-57100600033,2023-03-30,5651,SUPER QUICK MART / WINDSOR HEIGHTS,WINDSOR HEIGHTS,50324.0,POLK,IMPORTED VODKAS,KETEL ONE,4,35.96,359.6,1.5,0.39
INV-57096100047,2023-03-30,3713,WAL-MART 0810 / MASON CITY,MASON CITY,50401.0,CERRO GORDO,COCKTAILS/RTD,JOSE CUERVO GOLDEN MARGARITA,6,99.36,993.6,10.5,2.77
INV-57086100031,2023-03-30,2190,"CENTRAL CITY LIQUOR, INC.",DES MOINES,50314.0,POLK,SCOTCH WHISKIES,LAUDERS,6,103.5,1035.0,10.5,2.77
INV-57088300030,2023-03-30,5684,FIVE CORNERS LIQUOR & WINE,CEDAR FALLS,50613.0,BLACK HAWK,AMERICAN VODKAS,SMIRNOFF PEACH LEMONADE MINI,1,11.21,112.10000000000001,0.05,0.01
INV-57089900053,2023-03-30,5483,TIGER MART,GRISWOLD,51535.0,CASS,AMERICAN SCHNAPPS,MAUI BLUE HAWAIIAN SCHNAPPS,2,11.02,110.19999999999999,1.5,0.39
INV-57104200108,2023-03-30,2621,HY-VEE FOOD STORE #3 / SIOUX CITY,SIOUX CITY,51105.0,WOODBURY,100% AGAVE TEQUILA,DON JULIO REPOSADO,6,301.44,3014.4,4.5,1.18
INV-57106500032,2023-03-30,10021,WORLD CLASS LIQUOR AND TOBACCO / BONDURANT,BONDURANT,50035.0,POLK,WHITE RUM,BACARDI SUPERIOR,6,139.5,1395.0,10.5,2.77
INV-57106500002,2023-03-30,10021,WORLD CLASS LIQUOR AND TOBACCO / BONDURANT,BONDURANT,50035.0,POLK,CANADIAN WHISKIES,BLACK VELVET TOASTED CARAMEL,12,198.0,1980.0,21.0,5.54
INV-57100900028,2023-03-30,5889,SUPER QUICK LIQUOR / WDM,WEST DES MOINES,50266.0,POLK,SCOTCH WHISKIES,JOHNNIE WALKER DOUBLE BLACK,2,74.98,749.8000000000001,1.5,0.39
INV-57095700087,2023-03-30,4969,LAKE LIQUORS WINE AND SPIRITS,CLEAR LAKE,50428.0,CERRO GORDO,100% AGAVE TEQUILA,DULCE VIDA BLANCO,4,81.0,810.0,3.0,0.79
INV-57085100041,2023-03-30,10183,CROWN LIQUOR & SMOKE / IOWA CITY,,,,IMPORTED SCHNAPPS,DR MCGILLICUDDYS CHERRY MINI,3,22.5,225.0,0.15,0.03
INV-57086300168,2023-03-30,2633,HY-VEE #3 / BDI / DES MOINES,DES MOINES,50320.0,POLK,AMERICAN CORDIALS & LIQUEURS,PAMA POMEGRANATE LIQUEUR,6,99.0,990.0,4.5,1.18
INV-57095400053,2023-03-30,3456,QUICK SHOP / CLEAR LAKE,CLEARLAKE,50428.0,CERRO GORDO,AMERICAN FLAVORED VODKA,MCCORMICK APPLE VODKA,3,5.37,53.7,0.6,0.15
INV-57088900053,2023-03-30,3629,WAL-MART 1965 / COUNCIL BLUFFS,COUNCIL BLUFFS,51503.0,POTTAWATTAMIE,WHISKEY LIQUEUR,SOUTHERN COMFORT,12,186.0,1860.0,9.0,2.37
INV-57085100040,2023-03-30,10183,CROWN LIQUOR & SMOKE / IOWA CITY,,,,AMERICAN CORDIALS & LIQUEURS,DR MCGILLICUDDYS BUTTERSCOTCH,2,25.98,259.8,1.5,0.39
INV-57094600001,2023-03-30,5648,FAREWAY STORES #189 / AMES,AMES,50014.0,STORY,IMPORTED CORDIALS & LIQUEURS,HA CHARTREUSE GREEN FRENCH LIQUEUR,1,50.39,503.9,0.75,0.19
INV-57097900064,2023-03-30,6144,NORTHSIDE LIQUOR AND GROCERY / MASON CITY,MASON CITY,50401.0,CERRO GORDO,IMPORTED SCHNAPPS,DR MCGILLICUDDYS WILD GRAPE,12,155.88,1558.8,9.0,2.37
INV-57089800024,2023-03-30,4503,CASEY'S GENERAL STORE #38 / TREYNOR,TREYNOR,51575.0,POTTAWATTAMIE,AMERICAN CORDIALS & LIQUEURS,KINKY BLUE MINI,3,21.78,217.8,0.15,0.03
INV-57107800026,2023-03-30,2636,HY-VEE WINE AND SPIRITS / HUBBELL,DES MOINES,50317.0,POLK,AMERICAN CORDIALS & LIQUEURS,99 SOUR CHERRY MINI,10,77.4,774.0,0.5,0.13
INV-57085000011,2023-03-30,2190,"CENTRAL CITY LIQUOR, INC.",DES MOINES,50314.0,POLK,IMPORTED VODKAS,GREY GOOSE MINI,1,30.0,300.0,0.05,0.01
INV-57097900083,2023-03-30,6144,NORTHSIDE LIQUOR AND GROCERY / MASON CITY,MASON CITY,50401.0,CERRO GORDO,AMERICAN SCHNAPPS,99 PEPPERMINT MINI,10,77.4,774.0,0.5,0.13
INV-57106500010,2023-03-30,10021,WORLD CLASS LIQUOR AND TOBACCO / BONDURANT,BONDURANT,50035.0,POLK,STRAIGHT BOURBON WHISKIES,ELIJAH CRAIG,4,105.12,1051.2,3.0,0.79
INV-57099300044,2023-03-30,2691,HY-VEE FAST & FRESH - DES MOINES,URBANDALE,50322.0,POLK,AMERICAN SCHNAPPS,99 ROOT BEER MINI,2,15.48,154.8,0.1,0.02
INV-57098900002,2023-03-30,5501,QUIK TRIP #530 / EUCLID,DES MOINES,50313.0,POLK,CANADIAN WHISKIES,CROWN ROYAL REGAL APPLE,2,25.48,254.8,0.75,0.19
